id,breed,type
1,Affenpinscher,
2,Aïdi,
3,Airedale Terrier,
6,Alapaha Blue Blood Bulldog,
10,American Bully,
14,American Pit Bull Terrier,
19,Anglo-Français de petite vénerie,
22,Azawakh,
27,Basenji,
28,Basset artésien normand,
33,Basset hound,
34,Beagle,
36,Bedlington terrier,
37,Berger allemand,
38,Berger australien,
39,Berger basque,
41,Berger belge Laekenois,
46,Berger d'Asie Centrale,
50,Berger de la Serra de Aires,
51,Berger de Majorque,
54,Berger des pyrénées à poil long,
55,Berger des Tatras,
59,Berger hollandais,
60,Berger islandais,
63,Berger polonais de plaine,
65,Bichon à poil frisé,
67,Bichon havanais,
68,Bichon maltais,
71,Bobtail,
75,Border Collie,
78,Bouledogue français,
81,Bouvier bernois,
85,Boxer,
89,Brachet polonais,
94,Braque de Weimar,
97,Braque hongrois à poil court,
98,Braque italien,
103,Buhund norvégien,
104,Bull Terrier,
107,Bullmastiff,
109,Can de palleiro,
110,Cane corso,
111,Caniche,
114,Carlin,
121,Chien courant d'Istrie à poil ras,
122,Chien courant de Bosnie à poil dur,
126,Chien courant grec,
131,Chien d'arrêt allemand à poil long,
133,Chien d'arrêt danois ancestral,
135,Chien d'arrêt portugais,
136,Chien d'Artois,
137,Chien d'eau américain,
138,Chien d'eau espagnol,
140,Chien d'eau romagnol,
144,Chien de berger Kangal,
147,Chien de berger yougoslave de Charplanina,
148,Chien de Canaan,
151,Chien de garenne portugais,
152,Chien de la Serra da Estrela,
156,Chien de Rhodésie à crête dorsale,
159,Chien de Saint-Hubert,
160,Chien de Taïwan,
170,Chihuahua,
173,Cimarrón Uruguayo,
174,Cirneco de l'Etna,
175,Clumber Spaniel,
178,Cocker spaniel anglais,
179,Colley,
186,Dalmatien,
190,Dobermann,
192,Dogue argentin,
193,Dogue de Bordeaux,
194,Dogue de Majorque,
195,Dogue des Canaries,
201,English Coonhound,
203,Épagneul breton,
209,Épagneul picard,
212,Erdélyi kopó,
213,Esquimau canadien,
80,Retriever à poil plat,
223,Golden retriever,
240,Hokkaïdo,
243,Husky sibérien,
244,Jack Russell,
245,Jindo coréen,
253,Kooikerhondje,
258,Labrador retriever,
265,Landseer,
271,Lévrier Galgo,
282,Lundehund,
285,Malamute de l’Alaska,
291,Mastiff,
301,Norwich Terrier,
315,Pinscher autrichien,
320,Podenco d'Ibiza,
321,Pointer anglais,
325,Pudelpointer,
329,Rafeiro de l'Alentejo,
332,Ratier de Prague,
336,Retriever de la baie de Chesapeake,
337,Retriever de la Nouvelle-Écosse,
338,Rottweiler,
340,Saint-bernard,
341,Samoyède,
342,Schapendoes néerlandais,
346,Sealyham Terrier,
347,Segugio italien à poil ras,
353,Shar Pei,
354,Shetland,
361,Slovensky kopov,
362,Smous des Pays-Bas,
364,Spinone italiano,
366,Spitz de Norrbotten,
367,Spitz finlandais,
369,Springer anglais,
370,Staffordshire Bull Terrier,
371,Sussex Spaniel,
374,Teckel,
378,Terrier brésilien,
379,Terrier d'agrément anglais noir et feu,
380,Terrier de Boston,
381,Terrier de chasse allemand,
383,Terrier irlandais,
385,Terrier irlandais Glen of Imaal,
398,Welsh Corgi Cardigan,
406,Yorkshire terrier,
