Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Affenpinscher,https://fr.wikipedia.org/wiki/Affenpinscher,Allemagne,25 à 30 cm (au garrot),6 à 8 kg (mâle et femelle),Dur et bien fourni.,"Noire, feu, argent, gris, rouge, belge.",De forme arrondie.,"Foncés, plutôt arrondis et en boule.","Droites, petites, attachées haut.",Non coupée.,"Intrépide, attentif, fidèle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier afghan,https://fr.wikipedia.org/wiki/L%C3%A9vrier_afghan,Afghanistan,"M 68-74 cm, F 63-69 cm",,"Long, dense, très fin, court sur le dos (selle)",Toutes les couleurs sont admises,"Longue, léger stop, truffe noire ou marron","Foncés ou dorés, presque triangulaires","Attachées bas et en arrière, plaquées à la tête, couvertes de poils longs","Pas trop courte, extrémité en anneau, garnie de poils","Expression orientale typique, distant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aïdi,https://fr.wikipedia.org/wiki/A%C3%AFdi,Afrique du Nord,Entre 52 et 75 cm,25 à 65 kg (mais non précisé dans le standard),"Demi-long (6 cm), épais, assez rêche","Fauve, marron ou noire","Forte, large, au stop peu marqué","De taille moyenne, de couleur foncée variant selon la robe","Tombantes, aux pointes légèrement arrondies.","Longue, en cimeterre, très touffue","Affectueux, fidèle, indépendant et très protecteur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airedale Terrier,https://fr.wikipedia.org/wiki/Airedale_Terrier,Angleterre,56 à 61 cm,27 à 32 kg (mais non précisé dans le standard),"dense, raide et dur","noir et feu, ou grisonné et feu","bien proportionnée, exempte de rides",petits de couleur foncée,"petites, en V, avec la ligne supérieure pliée au-dessus du crane.","attachée haut, portée gaiement, traditionnellement écourtée d'1/3 dans les pays autorisés","vif, sociable, confiant, intrépide et courageux.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita Inu,https://fr.wikipedia.org/wiki/Akita_(chien),Japon,"59-61cm (F), 64-71cm (M) avec une tolérance de 3 cm de plus ou de moins",,"Le poil de couverture est court, dur et droit avec un sous-poil. Mais il peut y avoir des poils longs (hirsutes).","Urajiro rouge et blanc, sésame, bringée ou blanche","De type lupoïde, bien proportionnée.",Petits et brun foncé.,"Droites, relativement petites, triangulaires, tendues vers l’avant.","Longue, épaisse et enroulée sur le dos (trois quarts de boucle, boucle simple, double boucle).","Calme, docile, réceptif (mais pas nécessairement obéissant), fidèle, posé, sensible, indépendant.","27-41 kg(F), 26-47 kg (M).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alapaha Blue Blood Bulldog,https://fr.wikipedia.org/wiki/Alapaha_Blue_Blood_Bulldog,États-Unis,50 à 75 cm au garrot.,34 à 52 kg .,"dur, court.","blanche, fauve tachetée, bleu et noir.","large, mâchoires puissantes.","noirs ou exceptionnellement bleus, triangulaires.","petites, tombantes.","non coupée, tombante.","Chien de garde, protecteur mais très affectueux et fidèle envers son maître.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Husky,https://fr.wikipedia.org/wiki/Alaskan_Husky,Alaska ( États-Unis ) / Yukon ( Canada ),"55 à 76 cm (mâle), 53 à 70 cm (femelle)","18-40 kg (mâle), 16-35 kg (femelle)",Court ou mi-long,Tous les types de robe sont acceptés,triangulaire et petite,"bleus, marron ou vairons",droits et larges,,"Instinct de meute marqué, docilité prononcée envers l'homme, faible instinct de garde, fort besoin d'activité physique",,"chien de traîneau, d'attelage et de course, nouveaux sports canins, chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Klee Kai,https://fr.wikipedia.org/wiki/Alaskan_Klee_Kai,États-Unis,,,,,,,,,,,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malamute de l’Alaska,https://fr.wikipedia.org/wiki/Malamute_de_l%27Alaska,Alaska,"Taille recherchée pour le travail : 58,5 cm (F), 63,5 cm (M)","Poids recherché pour le travail : 34 kg (F), 38 kg (M)","Épais et rude, avec un sous-poil dense.","Bicolore, variant habituellement du gris clair au noir.",Large et forte.,"Taille moyenne et forme d'amande, de couleur marron.","De taille moyenne et triangulaires, dressées.",Portée sur le dos en panache.,"Affectueux et amical, air digne.",,Chien de traîneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset des Alpes,https://fr.wikipedia.org/wiki/Basset_des_Alpes,Autriche,34 à 42 cm .,,Poil double très dense avec un sous poil épais.,Fauve unicolore ou noire et feu.,"Crâne légèrement bombé, stop léger, truffe noire.","Iris marron foncé, paupières noires.","Tombantes, lisses et larges.","En brosse, atteignant tout juste le sol.","Impavide, éveillé et aimable","Chien courant de type basset , d'aspect robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
